ID,adm1_src,adm1_name,adm0_src,adm0_name,2003_annual,2004_annual,2005_annual,2006_annual,2007_annual,2008_annual,2009_annual,2010_annual,2011_annual,2012_annual,2013_annual,2014_annual,2015_annual,2016_annual,2017_annual,2018_annual,2019_annual,2020_annual,2021_annual,2022_annual,2023_annual
37,TR038,Kayseri,TUR,Turkey,833717.4299999999,852147.24,834763.78,901211.6,1087299.89,1019427.1399999999,784421.79,902196.8700000001,829336.44,867333.0,968364.6000000001,862952.8200000001,967507.5999999999,868875.8799999999,806062.9800000001,908730.37,893880.9,807420.8499999999,827399.63,828962.13,645159.7100000001
38,TR039,Kirklareli,TUR,Turkey,369232.89999999997,335002.2,352191.07,352917.46,341301.37,390982.35000000003,354235.45999999996,321145.07,356972.47,363547.02999999997,354973.51000000007,354277.26,357366.48000000004,342064.84,294867.02999999997,323811.8900000001,359711.0,361894.03,356476.73999999993,359515.63000000006,347175.9
39,TR040,Kirsehir,TUR,Turkey,742088.99,537507.0,327469.47000000003,507361.17,523052.64,599696.8099999999,465634.2,465848.06000000006,473874.98000000004,514879.68,486878.92,554327.59,435788.89,538668.53,506513.88,581353.3800000001,442609.81,514335.98,490883.02,464828.98,451810.04
40,TR041,Kocaeli,TUR,Turkey,53271.33,52388.34,26450.63,50501.899999999994,27314.480000000003,62139.77,42973.43,33945.49,43249.130000000005,47040.35999999999,46451.42,53034.08999999999,52410.520000000004,43191.34,38456.530000000006,44265.21000000001,46534.549999999996,42447.32,26530.98,44822.09,35188.8
41,TR042,Konya,TUR,Turkey,2856795.7800000003,2541601.6500000004,2365740.8,2452154.5599999996,2377403.4299999997,2739668.6100000003,2424503.88,2444409.19,2472704.27,2458007.6599999997,2458307.8600000003,2766999.25,2502923.19,2361882.5,2432000.1599999997,2634489.15,2558003.5,2491179.5,2354731.4899999998,2291510.62,1983345.4999999998
42,TR043,Kutahya,TUR,Turkey,367733.23,293713.34,306097.58,335679.66000000003,303369.28,365494.48,329929.15,292415.53,328530.70999999996,324611.11,325625.75,383716.59,325645.33,358080.23,329186.1,346075.44,271077.29000000004,328643.13,304192.82,300533.29,242164.80000000002
43,TR044,Malatya,TUR,Turkey,246218.43,264371.49,286920.24,223729.39999999997,259147.96000000002,270117.84,250230.38000000003,302248.24,274933.16,259013.49,232061.41999999998,183852.13,265126.42,263968.66000000003,265057.91000000003,279009.73,288072.76,271785.75,258489.13999999998,219380.63,169774.13
44,TR045,Manisa,TUR,Turkey,543067.71,453841.72,375279.94,503484.75,455778.48000000004,467365.67000000004,505960.37000000005,563791.1,477056.74,452120.69999999995,458243.47,463934.4700000001,457918.86,500424.51,377423.69,513617.54,478264.09,501343.99999999994,515741.50999999995,405547.94,308195.97
45,TR046,Kahramanmaras,TUR,Turkey,427549.23000000004,431634.88000000006,437928.56000000006,410687.08999999997,414087.74,444643.0900000001,385881.04000000004,398879.15,406780.81000000006,426638.7200000001,380163.38,376028.31,388200.47000000003,417329.18000000005,396594.41,462954.01999999996,417288.89999999997,380469.63,403689.25,385312.53,333196.77
46,TR047,Mardin,TUR,Turkey,422136.28,400364.0,327448.09,600408.27,420850.13,202408.85,420023.47,229313.28,502030.68999999994,652982.39,399204.75,382287.83999999997,615656.3900000001,609007.9,475319.74999999994,646603.53,572119.8200000001,210460.76,444746.42,532501.59,426885.25999999995
47,TR048,Mugla,TUR,Turkey,85451.63,122637.64000000001,117976.66,119761.25,68410.82,74153.0,121239.87999999999,107984.23999999999,116189.62999999999,87756.77,119145.62999999999,73804.51000000001,76897.77,124292.66,80599.19999999998,118763.17000000001,82928.97,121766.45999999999,77535.5,112757.68999999999,109899.82
48,TR049,Mus,TUR,Turkey,425941.50000000006,391144.13000000006,420828.95,448953.63,409375.76,566013.5099999999,400496.67,457175.96,447511.26,431805.33999999997,403867.51000000007,498678.43999999994,467794.26999999996,365049.54999999993,387289.85,428976.91000000003,403711.37000000005,402287.64,415945.76,378104.55,345777.67
49,TR050,Nevsehir,TUR,Turkey,441506.32999999996,465576.14,372264.17,443091.08999999997,450536.58999999997,469239.39999999997,420788.04999999993,389183.16000000003,410063.64,425041.24,493186.33999999997,416839.61,415212.37999999995,357123.46,435370.38,514835.14999999997,265460.52,434906.54999999993,421441.06999999995,414040.30000000005,341094.83999999997
50,TR051,Nigde,TUR,Turkey,255460.83,274354.69000000006,236822.52000000002,248700.97999999998,275844.68,258255.84,254399.92,258480.63999999998,264473.15,259298.21,272314.6,261061.19,268610.27,236996.53,264274.39999999997,287512.92000000004,269613.31999999995,264938.01999999996,251433.62,240954.24,167623.86
51,TR052,Ordu,TUR,Turkey,2097.36,2332.51,2497.73,3020.49,2477.7999999999997,2729.09,2252.6800000000003,2136.87,2078.36,2771.8900000000003,2753.67,2565.5,2758.15,2528.95,2243.79,2390.3199999999997,2288.07,2118.76,2362.23,1932.1499999999999,894.47
52,TR053,Rize,TUR,Turkey,9.0,49.39,25.03,47.720000000000006,18.54,40.529999999999994,25.91,22.900000000000002,3.46,45.61,54.900000000000006,47.21,21.22,40.64,50.79,45.230000000000004,17.89,50.63,32.05,16.9,0.0
53,TR054,Sakarya,TUR,Turkey,98471.32999999999,97947.6,82719.22,108554.49,98746.98,104327.98,95552.53,91859.48000000001,92350.01,100451.39,105849.1,97980.19,91944.09,101192.66,94183.26999999999,96413.63,94745.95999999999,98786.89,92312.02,94571.18000000001,65742.73999999999
54,TR055,Samsun,TUR,Turkey,256029.08,301577.48000000004,268867.97000000003,311543.5,283763.4,315698.81,262554.71,236568.11,253794.57,278082.95,241372.14,254034.29999999996,253275.91999999998,226460.61,265222.68,317635.27,282999.41,284680.68000000005,250131.11000000002,269080.02,179356.02000000002
55,TR056,Siirt,TUR,Turkey,117888.07999999999,124714.74000000002,108315.15000000001,135976.56999999998,120336.09999999999,95493.81,113943.56000000003,92325.61000000002,135793.71000000002,119254.42000000001,103383.13,49543.350000000006,116447.43999999999,46494.740000000005,121040.74999999999,89718.84,136784.4,51252.08,75770.58,114111.90000000001,106417.96
56,TR057,Sinop,TUR,Turkey,46766.41,28907.559999999998,34502.090000000004,38364.810000000005,38373.16,49678.55,34821.15,32111.329999999998,32568.750000000004,38132.659999999996,35152.26,39870.7,39712.54,28063.36,40546.71,41441.34999999999,38985.1,32675.48,36345.06,34836.24,24379.730000000003
57,TR058,Sivas,TUR,Turkey,1018212.22,1001651.0900000001,1138732.69,1110029.31,1232024.3499999999,1276396.73,952303.53,1159791.51,1049912.49,1135978.8,1196127.4,1135668.11,1182803.75,1077150.14,981121.41,1149170.2,1114824.35,962906.5000000001,1043633.5299999999,963722.01,834099.8500000001
58,TR059,Tekirdag,TUR,Turkey,579885.3800000001,521610.8400000001,526951.47,561644.28,506986.73,558092.8599999999,542700.0199999999,532449.71,546590.75,569195.0399999999,562881.2600000001,541953.93,551129.5599999999,508157.8300000001,497399.0800000001,535779.35,554301.9700000001,556543.34,548039.1400000001,557032.03,527677.11
