ID,adm2_src,adm2_name,adm1_src,adm1_name,adm0_src,adm0_name,2003_annual,2004_annual,2005_annual,2006_annual,2007_annual,2008_annual,2009_annual,2010_annual,2011_annual,2012_annual,2013_annual,2014_annual,2015_annual,2016_annual,2017_annual,2018_annual,2019_annual,2020_annual,2021_annual,2022_annual,2023_annual
847,TR063013,Viransehir,TR063,Sanliurfa,TUR,Turkey,184609.76,283043.44999999995,159944.13999999998,113892.61,102591.59999999999,116570.11000000002,202424.90999999997,121928.51999999999,121181.14,290083.87,129242.9,127042.67000000001,246126.88,137785.48,134873.97,138095.45,245126.19,257389.2,160251.5,161078.23,167172.02
848,TR064001,Banaz,TR064,Usak,TUR,Turkey,37120.520000000004,37150.28999999999,35466.6,34060.24,37690.3,42251.61,37611.34,32785.74,32485.090000000004,37118.44,38256.69,42999.12999999999,30264.370000000003,40426.52,37334.3,42691.28999999999,22418.13,42659.97,31937.730000000003,35141.58,29757.700000000004
849,TR064002,Esme,TR064,Usak,TUR,Turkey,48461.240000000005,45839.090000000004,21709.19,50141.83,33646.09,47782.79,55971.87,38242.54000000001,51136.35,26453.25,53928.3,23765.93,43427.4,51079.51,27708.939999999995,33798.270000000004,39112.560000000005,50198.11,50708.030000000006,40325.48,38730.92
850,TR064003,Karahalli,TR064,Usak,TUR,Turkey,15348.209999999997,17889.63,7248.09,18395.03,2121.61,17047.04,16572.25,6614.04,12685.390000000001,13611.51,16916.47,5986.42,12266.94,20241.64,2730.41,15119.86,13842.439999999999,13431.7,16338.500000000002,15952.83,13834.14
851,TR064004,Sivasli,TR064,Usak,TUR,Turkey,25750.21,29730.23,3750.11,29963.780000000002,29351.950000000004,30530.12,28409.479999999996,29006.5,27102.289999999997,26853.99,29814.51,22083.530000000002,19277.590000000004,32320.280000000002,15681.82,15415.800000000003,23036.28,26744.13,31313.32,28007.780000000002,26229.260000000006
852,TR064005,Ulubey,TR064,Usak,TUR,Turkey,49845.79000000001,50270.68,49475.630000000005,51555.57000000001,48546.34,53885.83,50499.310000000005,49636.200000000004,49939.56999999999,50502.89,52109.759999999995,24657.06,23217.500000000004,53842.670000000006,50280.81999999999,52829.86000000001,41114.75,51598.770000000004,44900.14,41239.090000000004,42930.280000000006
853,TR064006,Usak,TR064,Usak,TUR,Turkey,80942.20000000001,85182.01000000001,68536.75,86600.75,77857.07,101162.11,82438.59,79940.09000000001,78297.34999999999,83888.7,84557.51999999999,88388.0,71832.97,89368.55,83764.02999999998,90710.01000000001,83030.53,94341.45000000001,83225.51999999997,76043.69,71606.86
854,TR065001,Bahcesaray,TR065,Van,TUR,Turkey,23.88,20.0,36.87,45.74,23.29,50.830000000000005,27.16,47.28,52.05,37.95,11.26,27.05,27.15,16.7,43.71,33.54,27.91,25.76,25.37,12.72,14.55
855,TR065002,Baskale,TR065,Van,TUR,Turkey,27713.489999999998,25505.02,23940.22,24577.340000000004,29531.670000000002,24194.760000000002,26835.79,21706.27,28030.92,31535.45,14934.869999999999,24761.04,20884.38,8605.189999999999,12453.91,33258.04,26183.32,15101.73,30020.59,27560.520000000004,18803.250000000004
856,TR065003,Caldiran,TR065,Van,TUR,Turkey,25422.489999999998,25607.8,27606.539999999997,27708.739999999998,25257.16,26848.129999999997,26515.94,24297.4,23529.300000000003,26919.539999999997,24297.23,29934.04,30349.68,26099.03,25849.429999999997,15047.470000000001,22284.46,24086.62,24050.41,24348.96,20211.97
857,TR065004,Catak,TR065,Van,TUR,Turkey,5949.78,6861.63,6899.34,7066.599999999999,5793.49,8509.179999999998,6534.039999999999,7211.17,5641.82,7522.99,6860.870000000001,7463.75,8887.310000000001,6912.0599999999995,7029.230000000001,7260.98,5091.35,5381.389999999999,7394.450000000001,6643.07,5438.78
858,TR065005,Edremit,TR065,Van,TUR,Turkey,10333.9,8086.75,5850.79,10156.67,8138.32,11175.95,6524.45,2904.65,10425.64,6973.16,4361.03,6444.58,6641.889999999999,3586.86,8686.970000000001,8537.52,7832.9,9345.75,9326.84,8419.39,6290.21
859,TR065006,Ercis,TR065,Van,TUR,Turkey,54200.829999999994,50568.840000000004,52268.73,50636.479999999996,54368.66,61393.600000000006,58652.33,56609.130000000005,56236.44,53087.12,51336.53999999999,53008.93,59484.20999999999,59442.48999999999,49802.560000000005,52788.66,51776.02,49971.31,56088.29000000001,45762.76,36619.850000000006
860,TR065007,Gevas,TR065,Van,TUR,Turkey,6702.64,7879.740000000001,10165.17,10065.68,9414.4,8093.57,7178.34,5076.76,9705.77,6007.39,4453.33,5707.51,7599.62,4850.32,4289.27,5389.99,5051.1900000000005,4553.389999999999,7420.99,9021.689999999999,4927.84
